"Município";"IDHM 2010";"IDHM
Renda
2010";"IDHM Longevidade 2010";"IDHM Educação 2010";"Estado"
"Alto Alegre dos Parecis";0,592;0,603;0,777;0,443;"RO"
"Miraíma";0,592;0,51;0,778;0,523;"CE"
"São Gabriel";0,592;0,55;0,704;0,537;"BA"
"Queimadas";0,592;0,55;0,764;0,493;"BA"
"Quixelô";0,591;0,548;0,725;0,52;"CE"
"Riacho de Santana";0,591;0,545;0,776;0,489;"RN"
"Ibiracatu";0,591;0,537;0,786;0,489;"MG"
"Mirandiba";0,591;0,512;0,769;0,525;"PE"
"Santana do Matos";0,591;0,559;0,767;0,482;"RN"
"Dom Basílio";0,591;0,547;0,783;0,482;"BA"
"São Miguel do Gostoso";0,591;0,558;0,79;0,468;"RN"
"Cuité";0,591;0,574;0,766;0,47;"PB"
"São Caitano";0,591;0,583;0,756;0,469;"PE"
"Presidente Médici";0,591;0,518;0,762;0,522;"MA"
"Ibicoara";0,591;0,583;0,731;0,484;"BA"
"Brejo Grande do Araguaia";0,591;0,588;0,743;0,473;"PA"
"São Miguel do Guamá";0,591;0,582;0,752;0,471;"PA"
"Regeneração";0,591;0,582;0,714;0,498;"PI"
"Jerumenha";0,591;0,569;0,787;0,461;"PI"
"Santana do Ipanema";0,591;0,579;0,77;0,463;"AL"
"Umari";0,591;0,535;0,778;0,497;"CE"
"São Miguel dos Milagres";0,591;0,545;0,752;0,504;"AL"
"Pocinhos";0,591;0,556;0,779;0,477;"PB"
"Iuiú";0,591;0,553;0,74;0,504;"BA"
"Candiba";0,591;0,578;0,743;0,481;"BA"
"Pires Ferreira";0,591;0,51;0,769;0,526;"CE"
"São José de Piranhas";0,591;0,594;0,755;0,461;"PB"
"Frei Gaspar";0,59;0,569;0,799;0,452;"MG"
"Utinga";0,59;0,597;0,706;0,487;"BA"
"Croatá";0,59;0,497;0,76;0,544;"CE"
"São Domingos do Azeitão";0,59;0,576;0,732;0,486;"MA"
"Santana do São Francisco";0,59;0,544;0,716;0,526;"SE"
"Paratinga";0,59;0,519;0,774;0,51;"BA"
"Pai Pedro";0,59;0,52;0,76;0,52;"MG"
"Cotegipe";0,59;0,545;0,746;0,504;"BA"
"Sapucaia";0,59;0,639;0,792;0,405;"PA"
"Pedras de Fogo";0,59;0,568;0,771;0,468;"PB"
"Ararendá";0,59;0,522;0,763;0,516;"CE"
"Porto do Mangue";0,59;0,558;0,732;0,504;"RN"
"Buriti Bravo";0,59;0,539;0,752;0,506;"MA"
"Montadas";0,59;0,545;0,748;0,505;"PB"
"Marcos Parente";0,59;0,58;0,717;0,494;"PI"
"Santa Maria";0,59;0,554;0,779;0,477;"RN"
"Canavieiras";0,59;0,596;0,796;0,434;"BA"
"Ipupiara";0,59;0,558;0,736;0,499;"BA"
"Mundo Novo";0,59;0,606;0,791;0,429;"BA"
"Serrolândia";0,59;0,56;0,721;0,508;"BA"
"Santa Maria da Boa Vista";0,59;0,564;0,773;0,472;"PE"
"Esplanada";0,589;0,589;0,74;0,469;"BA"
"Coronel Sapucaia";0,589;0,607;0,806;0,417;"MS"
"Lago da Pedra";0,589;0,561;0,724;0,502;"MA"
"Redenção do Gurguéia";0,589;0,557;0,766;0,478;"PI"
"Lagoa de Velhos";0,589;0,566;0,789;0,458;"RN"
"Lajeado Novo";0,589;0,561;0,738;0,494;"MA"
"Passagem";0,589;0,547;0,747;0,501;"RN"
"Baianópolis";0,589;0,543;0,763;0,492;"BA"
"Anguera";0,589;0,565;0,766;0,471;"BA"
"São Domingos do Cariri";0,589;0,603;0,773;0,438;"PB"
"Bujari";0,589;0,603;0,772;0,439;"AC"
"Conceição do Canindé";0,589;0,559;0,759;0,482;"PI"
"Dormentes";0,589;0,558;0,741;0,495;"PE"
"Theobroma";0,589;0,622;0,757;0,434;"RO"
"Neópolis";0,589;0,575;0,702;0,505;"SE"
"Paulo Jacinto";0,589;0,551;0,732;0,507;"AL"
"Monte Alegre";0,589;0,541;0,764;0,495;"PA"
"Frei Paulo";0,589;0,623;0,768;0,428;"SE"
"Uruará";0,589;0,609;0,798;0,42;"PA"
"Paraná";0,589;0,532;0,776;0,496;"RN"
"Tocantínia";0,589;0,57;0,782;0,459;"TO"
"Palestina do Pará";0,589;0,574;0,761;0,467;"PA"
"Piranhas";0,589;0,563;0,786;0,462;"AL"
"Olho D'Água das Cunhãs";0,589;0,551;0,754;0,491;"MA"
"Carnaubais";0,589;0,583;0,738;0,476;"RN"
"São Pedro";0,589;0,574;0,794;0,449;"RN"
"Itagibá";0,589;0,566;0,77;0,469;"BA"
"Bom Jesus do Tocantins";0,589;0,601;0,777;0,437;"PA"
"Luís Domingues";0,588;0,541;0,734;0,512;"MA"
"Afrânio";0,588;0,542;0,761;0,493;"PE"
"Carira";0,588;0,581;0,791;0,442;"SE"
"Caldeirão Grande do Piauí";0,588;0,561;0,744;0,486;"PI"
"Assis Brasil";0,588;0,578;0,77;0,456;"AC"
"São Domingos";0,588;0,572;0,756;0,471;"SE"
"Pedrão";0,588;0,534;0,775;0,49;"BA"
"Ataléia";0,588;0,592;0,813;0,423;"MG"
"Belterra";0,588;0,548;0,775;0,478;"PA"
"Morrinhos";0,588;0,524;0,76;0,511;"CE"
"Colônia do Piauí";0,588;0,57;0,772;0,462;"PI"
"Tailândia";0,588;0,583;0,776;0,45;"PA"
"Morro do Chapéu";0,588;0,554;0,766;0,478;"BA"
"Paranhos";0,588;0,566;0,811;0,444;"MS"
"Andorinha";0,588;0,586;0,731;0,474;"BA"
"Boca do Acre";0,588;0,576;0,777;0,455;"AM"
"Aramari";0,588;0,568;0,761;0,47;"BA"
"Urbano Santos";0,588;0,506;0,77;0,522;"MA"
"Feira da Mata";0,588;0,527;0,763;0,505;"BA"
"Camocim de São Félix";0,588;0,585;0,738;0,472;"PE"
"Urucurituba";0,588;0,538;0,776;0,487;"AM"
"Santa Luz";0,588;0,539;0,768;0,49;"PI"
"Maués";0,588;0,549;0,8;0,464;"AM"
"Santana do Acaraú";0,587;0,536;0,755;0,5;"CE"
"Castelo do Piauí";0,587;0,566;0,754;0,473;"PI"
"São Francisco";0,587;0,564;0,732;0,49;"SE"
"Pé de Serra";0,587;0,558;0,779;0,465;"BA"
"Guaraqueçaba";0,587;0,587;0,792;0,434;"PR"
"Dom Feliciano";0,587;0,633;0,818;0,39;"RS"
"Nossa Senhora da Glória";0,587;0,591;0,75;0,456;"SE"
"Paulista";0,587;0,587;0,747;0,461;"PB"
"Moita Bonita";0,587;0,596;0,792;0,429;"SE"
"Malhador";0,587;0,587;0,781;0,442;"SE"
"Wagner";0,587;0,573;0,737;0,479;"BA"
"Monte Horebe";0,587;0,579;0,755;0,463;"PB"
"Umirim";0,587;0,514;0,751;0,524;"CE"
"Presidente Vargas";0,587;0,47;0,768;0,56;"MA"
"Caiçara do Rio do Vento";0,587;0,553;0,734;0,499;"RN"
"Coronel Ezequiel";0,587;0,545;0,778;0,476;"RN"
"Joaíma";0,587;0,572;0,789;0,448;"MG"
"Tupiratins";0,587;0,601;0,791;0,425;"TO"
"Cachoeira dos Índios";0,587;0,583;0,766;0,453;"PB"
"Montezuma";0,587;0,587;0,809;0,425;"MG"
"Santarém Novo";0,587;0,52;0,774;0,502;"PA"
"Canarana";0,587;0,555;0,734;0,496;"BA"
"Nova União";0,587;0,608;0,753;0,442;"RO"
"Vera Cruz";0,587;0,558;0,735;0,494;"RN"
"Candeal";0,587;0,554;0,787;0,465;"BA"
"Poço Branco";0,587;0,562;0,766;0,471;"RN"
"Santa Teresinha";0,587;0,549;0,804;0,459;"BA"
"Nova Mamoré";0,587;0,619;0,769;0,424;"RO"
"Viçosa";0,586;0,554;0,758;0,478;"AL"
"Laje";0,586;0,548;0,764;0,48;"BA"
"Coari";0,586;0,606;0,78;0,425;"AM"
"Nhamundá";0,586;0,513;0,779;0,503;"AM"
"Nossa Senhora de Nazaré";0,586;0,557;0,78;0,462;"PI"
"Miguel Calmon";0,586;0,571;0,745;0,472;"BA"
"Ibiara";0,586;0,548;0,768;0,479;"PB"
"Porto Calvo";0,586;0,558;0,723;0,498;"AL"
"Tavares";0,586;0,56;0,777;0,462;"PB"
"Serra Grande";0,586;0,549;0,745;0,491;"PB"
"Tomé-Açu";0,586;0,596;0,798;0,424;"PA"
"Esperantinópolis";0,586;0,561;0,713;0,503;"MA"
"Campo Formoso";0,586;0,566;0,749;0,475;"BA"
"Itaquitinga";0,586;0,554;0,715;0,509;"PE"
"Varzedo";0,586;0,581;0,753;0,461;"BA"
"Chaval";0,586;0,524;0,716;0,536;"CE"
"Barreiros";0,586;0,561;0,73;0,491;"PE"
"Coqueiro Seco";0,586;0,582;0,757;0,457;"AL"
"Sussuapara";0,586;0,563;0,749;0,476;"PI"
"Palmas de Monte Alto";0,586;0,561;0,777;0,462;"BA"
"São Tomé";0,585;0,565;0,77;0,461;"RN"
"Alto Longá";0,585;0,567;0,751;0,47;"PI"
"Ibitiara";0,585;0,55;0,744;0,49;"BA"
"Baixa Grande";0,585;0,549;0,775;0,471;"BA"
"Nacip Raydan";0,585;0,64;0,831;0,377;"MG"
"Lagoa Nova";0,585;0,542;0,764;0,483;"RN"
"Olho-D'Água do Borges";0,585;0,577;0,719;0,482;"RN"
"Central do Maranhão";0,585;0,503;0,713;0,557;"MA"
"São Caetano de Odivelas";0,585;0,552;0,767;0,473;"PA"
"Rio Tinto";0,585;0,562;0,742;0,48;"PB"
"Crisólita";0,585;0,579;0,799;0,432;"MG"
"Cícero Dantas";0,585;0,59;0,712;0,477;"BA"
"Nina Rodrigues";0,585;0,474;0,774;0,547;"MA"
"Granjeiro";0,585;0,533;0,715;0,526;"CE"
"Sairé";0,585;0,581;0,784;0,44;"PE"
"Laranjal";0,585;0,581;0,79;0,436;"PR"
"Solidão";0,585;0,547;0,755;0,485;"PE"
"Caraúbas";0,585;0,58;0,71;0,485;"PB"
"Xique-Xique";0,585;0,563;0,741;0,479;"BA"
"Choró";0,585;0,493;0,778;0,523;"CE"
"Curral de Dentro";0,585;0,571;0,759;0,462;"MG"
"Sento Sé";0,585;0,535;0,778;0,48;"BA"
"Mamanguape";0,585;0,585;0,756;0,453;"PB"
"Alegrete do Piauí";0,585;0,564;0,749;0,475;"PI"
"Afonso Bezerra";0,585;0,56;0,713;0,502;"RN"
"Verdelândia";0,584;0,542;0,797;0,462;"MG"
"Tejuçuoca";0,584;0,517;0,742;0,52;"CE"
"Nova Iorque";0,584;0,558;0,729;0,489;"MA"
"Santo Antônio de Lisboa";0,584;0,597;0,704;0,473;"PI"
"Juarina";0,584;0,563;0,742;0,478;"TO"
"Parari";0,584;0,583;0,733;0,467;"PB"
"Matriz de Camaragibe";0,584;0,541;0,777;0,473;"AL"
"Riacho da Cruz";0,584;0,545;0,751;0,487;"RN"
"Landri Sales";0,584;0,563;0,738;0,48;"PI"
"Lajedo do Tabocal";0,584;0,545;0,764;0,479;"BA"
"Tabocas do Brejo Velho";0,584;0,53;0,764;0,492;"BA"
"Itanagra";0,584;0,577;0,796;0,433;"BA"
"Umbuzeiro";0,584;0,545;0,712;0,514;"PB"
"Ibipitanga";0,584;0,553;0,757;0,475;"BA"
"Ibicuí";0,584;0,586;0,78;0,435;"BA"
"Érico Cardoso";0,584;0,558;0,758;0,471;"BA"
"Cavalcante";0,584;0,595;0,808;0,415;"GO"
"Vale do Anari";0,584;0,626;0,756;0,421;"RO"
"Cafarnaum";0,584;0,554;0,734;0,49;"BA"
"São Francisco do Brejão";0,584;0,556;0,748;0,479;"MA"
"Feira Nova";0,584;0,546;0,773;0,473;"SE"
"Bom Jesus";0,584;0,583;0,743;0,46;"RN"
"Canavieira";0,583;0,525;0,778;0,485;"PI"
"Carnaíba";0,583;0,54;0,727;0,505;"PE"
"Capitão de Campos";0,583;0,552;0,773;0,465;"PI"
"Senador Elói de Souza";0,583;0,523;0,752;0,504;"RN"
"Cristália";0,583;0,518;0,795;0,482;"MG"
"Jacaré dos Homens";0,583;0,543;0,759;0,481;"AL"
"Buritirana";0,583;0,54;0,725;0,505;"MA"
"Felisburgo";0,583;0,577;0,744;0,462;"MG"
"Coluna";0,583;0,59;0,782;0,43;"MG"
"Pinhão";0,583;0,58;0,711;0,48;"SE"
"Lagoa do Piauí";0,583;0,548;0,778;0,464;"PI"
"Aiquara";0,583;0,573;0,733;0,471;"BA"
"Cabeceiras do Piauí";0,583;0,54;0,769;0,476;"PI"
"Logradouro";0,583;0,544;0,776;0,47;"PB"
"Paramoti";0,583;0,515;0,741;0,518;"CE"
"Lucena";0,583;0,577;0,734;0,469;"PB"
"Aroazes";0,583;0,563;0,752;0,468;"PI"
"São João da Ponta";0,583;0,522;0,767;0,495;"PA"
"Pedro Avelino";0,583;0,577;0,788;0,435;"RN"
"Itaueira";0,583;0,594;0,727;0,46;"PI"
"Macambira";0,583;0,573;0,728;0,474;"SE"
"Dois Irmãos do Tocantins";0,583;0,551;0,813;0,442;"TO"
"Pau Brasil";0,583;0,58;0,727;0,47;"BA"
"Praia Norte";0,583;0,526;0,73;0,517;"TO"
"Floresta do Araguaia";0,583;0,573;0,792;0,437;"PA"
"São José da Safira";0,583;0,6;0,765;0,432;"MG"
"Itacaré";0,583;0,594;0,807;0,413;"BA"
"Santa Bárbara";0,583;0,554;0,775;0,462;"BA"
"Condeúba";0,582;0,559;0,789;0,447;"BA"
"Aricanduva";0,582;0,553;0,787;0,454;"MG"
"Loreto";0,582;0,516;0,771;0,495;"MA"
"Maracaçumé";0,582;0,546;0,719;0,501;"MA"
"São Domingos do Maranhão";0,582;0,549;0,713;0,504;"MA"
"Ubaíra";0,582;0,581;0,759;0,447;"BA"
"Catolândia";0,582;0,554;0,786;0,452;"BA"
"Vertentes";0,582;0,602;0,728;0,45;"PE"
"Alhandra";0,582;0,544;0,778;0,465;"PB"
"Alagoa Grande";0,582;0,576;0,797;0,43;"PB"
"Itatim";0,582;0,55;0,782;0,459;"BA"
"Serra de São Bento";0,582;0,551;0,741;0,482;"RN"
"Medicilândia";0,582;0,605;0,8;0,408;"PA"
"Curuçá";0,582;0,542;0,758;0,48;"PA"
"Isaías Coelho";0,582;0,628;0,767;0,41;"PI"
"Lagoa Salgada";0,582;0,551;0,771;0,464;"RN"
"Júlio Borges";0,582;0,5;0,777;0,508;"PI"
"Iracema";0,582;0,56;0,81;0,434;"RR"
"Rubelita";0,582;0,552;0,808;0,443;"MG"
"Bento Fernandes";0,582;0,542;0,737;0,494;"RN"
"Manicoré";0,582;0,58;0,747;0,456;"AM"
"São João da Serra";0,582;0,545;0,757;0,478;"PI"
"Mombaça";0,582;0,549;0,735;0,489;"CE"
"Acajutiba";0,582;0,56;0,723;0,487;"BA"
"Baía da Traição";0,581;0,541;0,731;0,495;"PB"
"Darcinópolis";0,581;0,597;0,764;0,429;"TO"
"Vila Nova dos Martírios";0,581;0,555;0,718;0,491;"MA"
"Curaçá";0,581;0,544;0,778;0,463;"BA"
"São Sebastião do Maranhão";0,581;0,564;0,816;0,427;"MG"
"Mata Verde";0,581;0,581;0,749;0,45;"MG"
"Anapurus";0,581;0,511;0,764;0,502;"MA"
"Mascote";0,581;0,567;0,744;0,464;"BA"
"Cabaceiras do Paraguaçu";0,581;0,525;0,763;0,49;"BA"
"Poranga";0,581;0,527;0,746;0,5;"CE"
"Anajatuba";0,581;0,523;0,762;0,492;"MA"
"Tenório";0,581;0,565;0,707;0,49;"PB"
"Aracatu";0,581;0,591;0,754;0,439;"BA"
"São Sebastião do Umbuzeiro";0,581;0,561;0,763;0,459;"PB"
"Nova Ipixuna";0,581;0,59;0,766;0,435;"PA"
"Lima Campos";0,581;0,578;0,705;0,481;"MA"
"Sigefredo Pacheco";0,581;0,518;0,764;0,496;"PI"
"Lago do Junco";0,581;0,537;0,741;0,492;"MA"
"Camacan";0,581;0,608;0,768;0,419;"BA"
"São José do Brejo do Cruz";0,581;0,535;0,776;0,473;"PB"
"Nova Olinda do Maranhão";0,581;0,536;0,755;0,484;"MA"
"Peixe-Boi";0,581;0,543;0,754;0,478;"PA"
"Moraújo";0,581;0,495;0,768;0,516;"CE"
"Congo";0,581;0,562;0,731;0,477;"PB"
"Limoeiro de Anadia";0,58;0,575;0,742;0,457;"AL"
"Fervedouro";0,58;0,583;0,796;0,42;"MG"
"Paraibano";0,58;0,572;0,723;0,473;"MA"
"Indiaroba";0,58;0,533;0,772;0,475;"SE"
"Tamboril";0,58;0,526;0,779;0,476;"CE"
"Jaguaquara";0,58;0,586;0,747;0,446;"BA"
"Maurilândia do Tocantins";0,58;0,542;0,724;0,498;"TO"
"Amaraji";0,58;0,575;0,748;0,454;"PE"
"Fortuna";0,58;0,558;0,706;0,494;"MA"
"São Francisco";0,58;0,56;0,726;0,481;"PB"
"São Bento";0,58;0,597;0,769;0,424;"PB"
"Ibirajuba";0,58;0,545;0,753;0,476;"PE"
"Ponto Novo";0,58;0,539;0,762;0,475;"BA"
"Desterro";0,58;0,551;0,724;0,49;"PB"
"Elesbão Veloso";0,58;0,573;0,758;0,45;"PI"
"Primavera";0,58;0,572;0,767;0,444;"PE"
"Tanque do Piauí";0,579;0,553;0,704;0,499;"PI"
"Cordeiros";0,579;0,561;0,763;0,454;"BA"
"Umbaúba";0,579;0,567;0,719;0,476;"SE"
"Juarez Távora";0,579;0,544;0,768;0,465;"PB"
"São Desidério";0,579;0,584;0,742;0,449;"BA"
"Cachoeirinha";0,579;0,587;0,753;0,439;"PE"
"Pilar";0,579;0,544;0,775;0,461;"PB"
"Sucupira do Norte";0,579;0,526;0,731;0,505;"MA"
"Areia Branca";0,579;0,579;0,773;0,434;"SE"
"Remanso";0,579;0,569;0,757;0,451;"BA"
"Banzaê";0,579;0,539;0,769;0,468;"BA"
"Lagoa do Tocantins";0,579;0,543;0,758;0,471;"TO"
"Ipaporanga";0,579;0,502;0,766;0,506;"CE"
"Cipotânea";0,579;0,592;0,75;0,437;"MG"
"Tucano";0,579;0,596;0,712;0,458;"BA"
"Canguaretama";0,579;0,557;0,718;0,486;"RN"
"Aparecida";0,578;0,567;0,747;0,456;"PB"
"Belém de Maria";0,578;0,537;0,749;0,479;"PE"
"Machados";0,578;0,541;0,767;0,466;"PE"
"Alcantil";0,578;0,55;0,765;0,458;"PB"
"Taperoá";0,578;0,564;0,749;0,456;"PB"
"Caririaçu";0,578;0,549;0,73;0,483;"CE"
"Baião";0,578;0,538;0,77;0,467;"PA"
"Curuá";0,578;0,501;0,78;0,495;"PA"
"Piritiba";0,578;0,566;0,76;0,449;"BA"
"Belém do Brejo do Cruz";0,578;0,55;0,779;0,451;"PB"
"Riachão das Neves";0,578;0,527;0,779;0,471;"BA"
"Alvorada do Gurguéia";0,578;0,52;0,749;0,496;"PI"
"Aquidabã";0,578;0,573;0,747;0,452;"SE"
"São José do Bonfim";0,578;0,549;0,713;0,493;"PB"
"Cachoeira de Pajeú";0,578;0,563;0,771;0,444;"MG"
"Monte Alegre do Piauí";0,578;0,531;0,768;0,474;"PI"
"Terra Nova";0,578;0,581;0,7;0,474;"BA"
"Firmino Alves";0,578;0,596;0,699;0,464;"BA"
"Malhada de Pedras";0,578;0,549;0,747;0,471;"BA"
"Itamari";0,578;0,595;0,713;0,454;"BA"
"Coronel João Pessoa";0,578;0,549;0,748;0,471;"RN"
"Itambé";0,578;0,589;0,75;0,436;"BA"
"Bacuri";0,578;0,54;0,737;0,484;"MA"
"Antônio Martins";0,578;0,554;0,76;0,458;"RN"
"Quixabeira";0,578;0,547;0,753;0,469;"BA"
"Cametá";0,577;0,538;0,754;0,474;"PA"
"Primavera";0,577;0,571;0,772;0,435;"PA"
"Brasileira";0,577;0,572;0,752;0,446;"PI"
"Francisco Ayres";0,577;0,565;0,756;0,45;"PI"
"Tanhaçu";0,577;0,565;0,772;0,44;"BA"
"Barra D'Alcântara";0,577;0,526;0,777;0,471;"PI"
"São Sebastião do Uatumã";0,577;0,561;0,739;0,464;"AM"
"Quixaba";0,577;0,53;0,752;0,482;"PE"
"Santa Cruz de Salinas";0,577;0,548;0,757;0,463;"MG"
"Gracho Cardoso";0,577;0,562;0,729;0,468;"SE"
"Contendas do Sincorá";0,577;0,579;0,695;0,477;"BA"
"Vereda";0,577;0,568;0,777;0,436;"BA"
"Santa Cruz dos Milagres";0,577;0,524;0,719;0,509;"PI"
"Barra do Rocha";0,577;0,585;0,705;0,465;"BA"
"Nossa Senhora Aparecida";0,577;0,577;0,774;0,43;"SE"
"Autazes";0,577;0,539;0,799;0,446;"AM"
"Ibaretama";0,577;0,517;0,759;0,489;"CE"
"Paripiranga";0,577;0,567;0,717;0,472;"BA"
"União";0,577;0,542;0,781;0,453;"PI"
"Pindobaçu";0,577;0,527;0,757;0,482;"BA"
"São José de Espinharas";0,577;0,543;0,79;0,448;"PB"
"Barra de Guabiraba";0,577;0,558;0,726;0,474;"PE"
"Mar Vermelho";0,577;0,54;0,766;0,465;"AL"
"João Alfredo";0,576;0,569;0,72;0,466;"PE"
"Itaubal";0,576;0,528;0,758;0,477;"AP"
"Ibirataia";0,576;0,571;0,789;0,424;"BA"
"Goiatins";0,576;0,541;0,765;0,462;"TO"
"Olho D'Água do Piauí";0,576;0,537;0,746;0,477;"PI"
"Irajuba";0,576;0,544;0,776;0,453;"BA"
"Canto do Buriti";0,576;0,571;0,724;0,462;"PI"
"Carinhanha";0,576;0,525;0,763;0,477;"BA"
"Nazaré do Piauí";0,576;0,531;0,707;0,51;"PI"
"Exu";0,576;0,543;0,775;0,454;"PE"
"Maiquinique";0,576;0,586;0,69;0,472;"BA"
"Rio do Antônio";0,576;0,555;0,74;0,465;"BA"
"Frei Miguelinho";0,576;0,575;0,758;0,438;"PE"
"Riachão";0,576;0,572;0,757;0,442;"MA"
"Tarrafas";0,576;0,529;0,751;0,482;"CE"
"Pirapemas";0,576;0,501;0,741;0,514;"MA"
"Alagoa Nova";0,576;0,567;0,749;0,451;"PB"
"Coroatá";0,576;0,545;0,737;0,475;"MA"
"Bela Vista do Piauí";0,576;0,52;0,709;0,519;"PI"
"Gongogi";0,576;0,543;0,773;0,456;"BA"
"Água Boa";0,576;0,594;0,799;0,403;"MG"
"Poção de Pedras";0,576;0,543;0,732;0,481;"MA"
"Porto Acre";0,576;0,593;0,771;0,418;"AC"
"Vila Flor";0,576;0,561;0,722;0,471;"RN"
"Piripá";0,575;0,547;0,768;0,453;"BA"
"Saboeiro";0,575;0,533;0,715;0,499;"CE"
"Montes Altos";0,575;0,534;0,732;0,486;"MA"
"Belo Campo";0,575;0,562;0,76;0,444;"BA"
"Jupi";0,575;0,56;0,698;0,487;"PE"
"Parnaguá";0,575;0,526;0,777;0,464;"PI"
"Junqueiro";0,575;0,586;0,714;0,454;"AL"
"Mocajuba";0,575;0,539;0,754;0,467;"PA"
"Jaqueira";0,575;0,557;0,751;0,454;"PE"
"Paes Landim";0,575;0,537;0,721;0,492;"PI"
"Itambé";0,575;0,566;0,727;0,463;"PE"
"Botuporã";0,575;0,543;0,754;0,464;"BA"
"Simões";0,575;0,56;0,771;0,44;"PI"
"Capixaba";0,575;0,601;0,794;0,398;"AC"
"Abaré";0,575;0,533;0,776;0,46;"BA"
"Barra da Estiva";0,575;0,566;0,717;0,469;"BA"
"Aratuípe";0,575;0,57;0,753;0,443;"BA"
"Jitaúna";0,575;0,563;0,704;0,479;"BA"
"Chã Preta";0,575;0,537;0,737;0,481;"AL"
"Boa Hora";0,575;0,534;0,772;0,46;"PI"
"Olinda Nova do Maranhão";0,575;0,495;0,724;0,531;"MA"
"Várzea do Poço";0,575;0,581;0,707;0,462;"BA"
"Riachão";0,574;0,515;0,763;0,481;"PB"
"Baraúna";0,574;0,562;0,756;0,446;"RN"
"Santa Inês";0,574;0,571;0,704;0,47;"BA"
"Igrapiúna";0,574;0,565;0,789;0,424;"BA"
"Brejinho";0,574;0,563;0,681;0,493;"PE"
"Pedra Lavrada";0,574;0,564;0,733;0,458;"PB"
"São Félix do Tocantins";0,574;"0,550td>";0,771;0,446;"TO"
"Santo Antônio do Jacinto";0,574;0,575;0,772;0,427;"MG"
"Carutapera";0,574;0,533;0,747;0,476;"MA"
"Buriti dos Montes";0,574;0,527;0,78;0,46;"PI"
"Maragogi";0,574;0,556;0,766;0,443;"AL"
"Iaçu";0,574;0,588;0,697;0,461;"BA"
"Pau D'Arco";0,574;0,571;0,748;0,443;"PA"
"Catingueira";0,574;0,553;0,753;0,455;"PB"
"Januário Cicco";0,574;0,511;0,771;0,481;"RN"
"Pindoba";0,574;0,579;0,703;0,465;"AL"
"Benjamin Constant";0,574;0,526;0,763;0,471;"AM"
"Santana do Piauí";0,574;0,539;0,736;0,476;"PI"
"Mogeiro";0,574;0,538;0,732;0,481;"PB"
"Caiçara do Norte";0,574;0,572;0,727;0,454;"RN"
"Bonito de Santa Fé";0,574;0,564;0,786;0,427;"PB"
"Barreirinha";0,574;0,469;0,774;0,522;"AM"
"Manoel Emídio";0,573;0,534;0,758;0,466;"PI"
"Ipueiras";0,573;0,534;0,735;0,479;"CE"
"Pedra Bonita";0,573;0,557;0,74;0,457;"MG"
"São José da Laje";0,573;0,574;0,755;0,434;"AL"
"São Sebastião do Tocantins";0,573;0,516;0,748;0,487;"TO"
"Capela";0,573;0,554;0,743;0,456;"AL"
"Nova Olinda";0,573;0,557;0,744;0,453;"PB"
"Carnaubeira da Penha";0,573;0,491;0,755;0,508;"PE"
"Cerro Azul";0,573;0,604;0,797;0,391;"PR"
"Caldeirão Grande";0,573;0,526;0,758;0,473;"BA"
"São José do Peixe";0,573;0,548;0,766;0,449;"PI"
"Sossêgo";0,573;0,531;0,769;0,46;"PB"
"Alcântara";0,573;0,525;0,753;0,475;"MA"
"Tacaratu";0,573;0,521;0,711;0,507;"PE"
"Cristalândia do Piauí";0,573;0,521;0,77;0,469;"PI"
"Sobrado";0,573;0,525;0,753;0,477;"PB"
"Alvorada de Minas";0,572;0,57;0,794;0,414;"MG"
"São Brás";0,572;0,533;0,732;0,48;"AL"
"Piaçabuçu";0,572;0,538;0,727;0,479;"AL"
"Ouricuri";0,572;0,578;0,773;0,419;"PE"
"Cumaru";0,572;0,553;0,72;0,47;"PE"
"Angelim";0,572;0,555;0,751;0,448;"PE"
"Santa Inês";0,572;0,54;0,706;0,492;"PB"
"Olho D'Água";0,572;0,533;0,776;0,452;"PB"
"Maturéia";0,572;0,54;0,73;0,474;"PB"
"Itaeté";0,572;0,536;0,719;0,485;"BA"
"Barra de São Miguel";0,572;0,584;0,728;0,44;"PB"
"Água Branca";0,572;0,542;0,712;0,484;"PB"
"Itapebi";0,572;0,568;0,718;0,458;"BA"
"Touros";0,572;0,562;0,716;0,466;"RN"
"Sítio Novo";0,572;0,528;0,722;0,491;"RN"
"Mairi";0,572;0,575;0,744;0,438;"BA"
"Matina";0,572;0,538;0,74;0,469;"BA"
"Planaltino";0,572;0,573;0,708;0,462;"BA"
"Rio Real";0,572;0,568;0,729;0,452;"BA"
"Rio Grande do Piauí";0,572;0,552;0,767;0,442;"PI"
"Tuntum";0,572;0,534;0,726;0,483;"MA"
"São Bernardo";0,572;0,514;0,762;0,479;"MA"
"Governador Eugênio Barros";0,572;0,55;0,736;0,462;"MA"
"Riachinho";0,572;0,503;0,76;0,49;"TO"
"Inhangapi";0,572;0,55;0,748;0,456;"PA"
"Vieirópolis";0,571;0,537;0,762;0,455;"PB"
"Calumbi";0,571;0,567;0,715;0,46;"PE"
"Várzea Grande";0,571;0,554;0,708;0,474;"PI"
"Santa Helena";0,571;0,531;0,746;0,471;"MA"
"Novo Cruzeiro";0,571;0,562;0,797;0,415;"MG"
"Itapitanga";0,571;0,536;0,764;0,454;"BA"
"Pedro Ii";0,571;0,566;0,767;0,428;"PI"
"Barroquinha";0,571;0,512;0,72;0,505;"CE"
