"cod_municipio ibge";"Município";"Gini_2010"
"354770";"Santo Anastácio";0,5341
"354780";"Santo André";0,5428
"354790";"Santo Antônio da Alegria";0,4178
"354800";"Santo Antônio de Posse";0,4586
"354805";"Santo Antônio do Aracanguá";0,4127
"354810";"Santo Antônio do Jardim";0,4296
"354820";"Santo Antônio do Pinhal";0,476
"354830";"Santo Expedito";0,4174
"354840";"Santópolis do Aguapeí";0,3517
"354850";"Santos";0,5624
"354860";"São Bento do Sapucaí";0,5567
"354870";"São Bernardo do Campo";0,5525
"354880";"São Caetano do Sul";0,548
"354890";"São Carlos";0,4986
"354900";"São Francisco";0,4598
"354910";"São João da Boa Vista";0,5152
"354920";"São João das Duas Pontes";0,3638
"354925";"São João de Iracema";0,3692
"354930";"São João do Pau d'Alho";0,3339
"354940";"São Joaquim da Barra";0,4186
"354950";"São José da Bela Vista";0,4646
"354960";"São José do Barreiro";0,5483
"354970";"São José do Rio Pardo";0,4936
"354980";"São José do Rio Preto";0,5081
"354990";"São José dos Campos";0,5633
"354995";"São Lourenço da Serra";0,5148
"355000";"São Luís do Paraitinga";0,4836
"355010";"São Manuel";0,4607
"355020";"São Miguel Arcanjo";0,5822
"355030";"São Paulo";0,6453
"355040";"São Pedro";0,4772
"355050";"São Pedro do Turvo";0,3898
"355060";"São Roque";0,5109
"355070";"São Sebastião";0,5022
"355080";"São Sebastião da Grama";0,4156
"355090";"São Simão";0,4603
"355100";"São Vicente";0,4892
"355110";"Sarapuí";0,5133
"355120";"Sarutaiá";0,4451
"355130";"Sebastianópolis do Sul";0,4262
"355140";"Serra Azul";0,4573
"355160";"Serra Negra";0,4836
"355150";"Serrana";0,3819
"355170";"Sertãozinho";0,4749
"355180";"Sete Barras";0,5156
"355190";"Severínia";0,4195
"355200";"Silveiras";0,4803
"355210";"Socorro";0,4524
"355220";"Sorocaba";0,529
"355230";"Sud Mennucci";0,5411
"355240";"Sumaré";0,4737
"355255";"Suzanápolis";0,4214
"355250";"Suzano";0,491
"355260";"Tabapuã";0,3973
"355270";"Tabatinga";0,4073
"355280";"Taboão da Serra";0,4903
"355290";"Taciba";0,3861
"355300";"Taguaí";0,3719
"355310";"Taiaçu";0,4222
"355320";"Taiúva";0,4237
"355330";"Tambaú";0,4526
"355340";"Tanabi";0,4211
"355350";"Tapiraí";0,4437
"355360";"Tapiratiba";0,4057
"355365";"Taquaral";0,5192
"355370";"Taquaritinga";0,4679
"355380";"Taquarituba";0,495
"355385";"Taquarivaí";0,4375
"355390";"Tarabai";0,3988
"355395";"Tarumã";0,5488
"355400";"Tatuí";0,4776
"355410";"Taubaté";0,5181
"355420";"Tejupá";0,4807
"355430";"Teodoro Sampaio";0,4742
"355440";"Terra Roxa";0,4519
"355450";"Tietê";0,4937
"355460";"Timburi";0,4728
"355465";"Torre de Pedra";0,3944
"355470";"Torrinha";0,442
"355475";"Trabiju";0,398
"355480";"Tremembé";0,5386
"355490";"Três Fronteiras";0,4123
"355495";"Tuiuti";0,3907
"355500";"Tupã";0,5522
"355510";"Tupi Paulista";0,4946
"355520";"Turiúba";0,3665
"355530";"Turmalina";0,3987
"355535";"Ubarana";0,3594
"355540";"Ubatuba";0,5971
"355550";"Ubirajara";0,4219
"355560";"Uchoa";0,3993
"355570";"União Paulista";0,3615
"355580";"Urânia";0,4649
"355590";"Uru";0,4223
"355600";"Urupês";0,4235
"355610";"Valentim Gentil";0,3716
"355620";"Valinhos";0,5529
"355630";"Valparaíso";0,461
"355635";"Vargem";0,3899
"355640";"Vargem Grande do Sul";0,4261
"355645";"Vargem Grande Paulista";0,5199
"355650";"Várzea Paulista";0,4325
"355660";"Vera Cruz";0,4497
"355670";"Vinhedo";0,5448
"355680";"Viradouro";0,405
"355690";"Vista Alegre do Alto";0,3562
"355695";"Vitória Brasil";0,3595
"355700";"Votorantim";0,4101
"355710";"Votuporanga";0,4991
