"Município";"Valor Transferido"
"SÃO LOURENÇO DA SERRA";7439481,77
"SÃO LUÍS DO PARAITINGA";4609838,25
"SÃO MANUEL";13225404,5
"SÃO MIGUEL ARCANJO";10981339,92
"SÃO PAULO";3537409567,98
"SÃO PEDRO";19956204,42
"SÃO PEDRO DO TURVO";3893636,91
"SÃO ROQUE";31499643,54
"SÃO SEBASTIÃO";33700160,09
"SÃO SEBASTIÃO DA GRAMA";5869679,97
"SÃO SIMÃO";5084307,75
"SÃO VICENTE";107201495,1
"SARAPUÍ";3322355,94
"SARUTAIÁ";1313600,42
"SEBASTIANÓPOLIS DO SUL";2012679,74
"SERRA AZUL";3956814,56
"SERRA NEGRA";9529257,38
"SERRANA";12500684,87
"SERTÃOZINHO";49051850,34
"SETE BARRAS";5249231,08
"SEVERÍNIA";4242427,02
"SILVEIRAS";3503048,03
"SOCORRO";16010522,82
"SOROCABA";253826289,23
"SUD MENNUCCI";4517681,35
"SUMARÉ";41868884,35
"SUZANÁPOLIS";1541844,64
"SUZANO";115739041,21
"TABAPUÃ";5049685,99
"TABATINGA";6414603,8
"TABOÃO DA SERRA";48849797,52
"TACIBA";2851677,4
"TAGUAÍ";5205045,15
"TAIAÇU";2242378,22
"TAIÚVA";2158923,55
"TAMBAÚ";7231200,44
"TANABI";7339812,52
"TAPIRAÍ";1954497,47
"TAPIRATIBA";6552349,75
"TAQUARAL";1450184,04
"TAQUARITINGA";27764593,17
"TAQUARITUBA";9896016,85
"TAQUARIVAÍ";2315494,57
"TARABAI";3975958,85
"TARUMÃ";5921900,94
"TATUÍ";37756313,26
"TAUBATÉ";103562438,3
"TEJUPÁ";1116206,35
"TEODORO SAMPAIO";11760644,95
"TERRA ROXA";3325931,92
"TIETÊ";10695133,98
"TIMBURI";1950797,44
"TORRE DE PEDRA";1435583,4
"TORRINHA";2326126,05
"TRABIJU";1103379,38
"TREMEMBÉ";6731409,24
"TRÊS FRONTEIRAS";2413203,43
"TUIUTI";1520947,13
"TUPÃ";23753259,25
"TUPI PAULISTA";5833901,69
"TURIÚBA";790603,4
"TURMALINA";1011053,36
"UBARANA";2501651,88
"UBATUBA";42531611,72
"UBIRAJARA";2624066,44
"UCHOA";4472469,74
"UNIÃO PAULISTA";1165571,62
"URÂNIA";4324524,39
"URU";1034078,24
"URUPÊS";5994131,46
"VALENTIM GENTIL";5685193,2
"VALINHOS";28141339,21
"VALPARAÍSO";6706647,68
"VARGEM";1799853,26
"VARGEM GRANDE DO SUL";13751697,79
"VARGEM GRANDE PAULISTA";9015471,75
"VÁRZEA PAULISTA";21475463,15
"VERA CRUZ";2959866,5
"VINHEDO";16773504,19
"VIRADOURO";11938748,45
"VISTA ALEGRE DO ALTO";2185194,96
"VITÓRIA BRASIL";898852,92
"VOTORANTIM";22244985,88
"VOTUPORANGA";35766370,08
"ZACARIAS";1537911,04
